#      LATG        TB       sTB        MU       sMU
     -4.8      1.39      0.64      0.33     0.006
     -4.2     -1.12      1.04      0.32     0.002
     -3.6     -2.86      1.90      0.32     0.007
     -3.0     -2.85      1.39      0.33     0.006
     -2.3     -1.20      1.11      0.34     0.007
     -1.7      0.52      1.05      0.34     0.006
     -1.1      0.68      1.30      0.34     0.010
     -0.5     -0.79      1.34      0.35     0.001
      0.1     -2.53      1.29      0.34     0.011
      0.7     -3.43      0.91      0.35     0.007
      1.4     -3.50      0.86      0.36     0.007
      2.0     -3.34      0.97      0.37     0.005
      2.6     -3.06      1.35      0.36     0.008
      3.2     -2.16      1.33      0.36     0.011
      3.8     -0.19      1.08      0.36     0.012
      4.4      2.52      0.67      0.38     0.007
      5.1      4.82      1.17      0.38     0.006
      5.7      5.60      1.33      0.37     0.008
      6.3      4.76      1.36      0.37     0.011
      6.9      3.14      1.32      0.38     0.012
      7.5      1.56      1.12      0.39     0.006
      8.2      0.52      1.96      0.39     0.008
      8.8      0.45      1.34      0.39     0.007
      9.4      1.45      2.17      0.39     0.011
     10.0      2.91      2.42      0.40     0.012
     10.6      3.72      3.49      0.41     0.013
     11.3      3.18      0.97      0.40     0.007
     11.9      1.73      2.22      0.40     0.010
     12.5      0.48      2.81      0.41     0.012
     13.1     -0.04      4.29      0.41     0.014
     13.8     -0.31      3.05      0.42     0.010
     14.4     -0.94      1.88      0.41     0.010
     15.0     -1.80      2.00      0.42     0.010
     15.7     -2.28      3.66      0.42     0.014
     16.3     -2.15      3.78      0.44     0.010
     16.9     -1.74      3.25      0.42     0.010
     17.6     -1.49      1.52      0.43     0.012
     18.2     -1.49      2.03      0.44     0.012
     18.8     -1.61      4.10      0.45     0.011
     19.5     -1.75      3.99      0.44     0.014
     20.1     -1.97      2.92      0.44     0.010
     20.8     -2.22      1.48      0.45     0.011
     21.4     -2.18      2.41      0.45     0.014
     22.1     -1.71      2.89      0.46     0.010
     22.7     -1.16      2.74      0.45     0.011
     23.4     -1.06      1.68      0.46     0.011
     24.0     -1.50      0.94      0.47     0.011
     24.7     -2.04      1.82      0.47     0.015
     25.3     -2.14      1.74      0.47     0.010
     26.0     -1.72      2.79      0.47     0.016
     26.6     -1.31      2.11      0.48     0.012
     27.3     -1.45      2.69      0.48     0.014
     28.0     -1.98      1.79      0.48     0.015
     28.7     -2.31      3.49      0.48     0.012
     29.3     -2.11      4.21      0.49     0.016
     30.0     -1.46      3.62      0.49     0.016
     30.7     -0.50      2.05      0.49     0.015
     31.4      0.54      3.57      0.49     0.016
     32.1      1.13      4.45      0.50     0.015
     32.8      0.77      4.25      0.51     0.014
     33.5     -0.31      1.55      0.50     0.011
     34.2     -1.10      3.24      0.51     0.011
     34.9     -0.85      3.48      0.52     0.015
     35.6      0.30      1.55      0.51     0.011
     36.3      1.68      0.77      0.52     0.011
     37.0      2.84      1.72      0.52     0.014
     37.7      3.75      2.10      0.53     0.011
     38.5      4.55      0.63      0.52     0.015
     39.2      5.45      0.44      0.52     0.016
     39.9      6.51      0.70      0.53     0.016
     40.7      7.08      0.63      0.53     0.019
     41.4      5.74      0.25      0.53     0.015
     42.2      2.32      0.25      0.54     0.014
     43.0      0.02      0.24      0.55     0.013
     43.8      3.06      0.26      0.54     0.013
     44.5     10.61      0.33      0.54     0.016
     45.3     15.53      0.27      0.56     0.011
     46.1     11.94      0.26      0.56     0.015
     47.0      2.33      0.41      0.55     0.016
     47.8     -5.59      0.48      0.55     0.019
     48.6     -7.36      0.44      0.56     0.020
     49.5     -4.71      0.47      0.56     0.017
     50.3     -1.54      0.42      0.57     0.012
     51.2      0.06      0.51      0.57     0.016
     52.1      0.16      0.40      0.58     0.014
     53.0     -0.24      0.53      0.56     0.021
     53.9     -0.34      0.45      0.58     0.016
     54.9      0.03      0.46      0.59     0.014
     55.8      0.26      0.78      0.57     0.020
     56.8     -0.37      0.89      0.58     0.020
     57.8     -1.67      0.73      0.59     0.016
     58.9     -2.39      1.09      0.59     0.024
     59.9     -1.29      1.03      0.59     0.016
     61.0      1.24      0.86      0.60     0.016
     62.2      3.13      1.11      0.60     0.018
     63.3      2.73      0.97      0.60     0.017
     64.6      0.89      1.00      0.60     0.020
     65.8     -0.04      1.13      0.62     0.014
     67.2      0.71      0.66      0.60     0.016
     68.6      1.58      0.79      0.61     0.011
     70.1      1.09      1.16      0.62     0.019
     71.7     -0.29      1.35      0.61     0.018
     73.5     -0.95      1.02      0.61     0.021
     75.4     -0.10      1.08      0.63     0.016
     77.7      1.43      1.54      0.63     0.021
     80.5      2.04      1.05      0.63     0.016
     84.5      1.13      1.09      0.64     0.015
