# VLA smeared map of saturn, U band, 1.66 - 2.50 cm, 12 - 18 GHz
#    LATG1     LATG2        TB       sTB        MU       sMU         N
     -47.8     -47.6      3.84      0.63      0.32     0.007        14
     -47.6     -47.4      4.44      0.64      0.33     0.006        22
     -47.4     -47.2      4.41      1.04      0.32     0.002         6
     -47.2     -47.0      4.52      1.90      0.32     0.007         8
     -47.0     -46.8      4.63      1.39      0.33     0.006         8
     -46.8     -46.6      4.81      1.11      0.34     0.007        12
     -46.6     -46.4      5.64      1.05      0.34     0.006        18
     -46.4     -46.2      5.40      1.30      0.34     0.010        20
     -46.2     -46.0      4.83      1.34      0.35     0.001         4
     -46.0     -45.8      4.45      1.29      0.34     0.011        10
     -45.8     -45.6      4.52      0.91      0.35     0.007        12
     -45.6     -45.4      5.33      0.86      0.36     0.007        18
     -45.4     -45.2      5.78      0.97      0.37     0.005        18
     -45.2     -45.0      4.64      1.35      0.36     0.008        10
     -45.0     -44.8      4.46      1.33      0.36     0.011        12
     -44.8     -44.6      4.85      1.08      0.36     0.012        16
     -44.6     -44.4      5.97      0.67      0.38     0.007        16
     -44.4     -44.2      6.31      1.17      0.38     0.006        20
     -44.2     -44.0      5.00      1.33      0.37     0.008        10
     -44.0     -43.8      4.85      1.36      0.37     0.011        12
     -43.8     -43.6      5.32      1.32      0.38     0.012        16
     -43.6     -43.4      7.07      1.12      0.39     0.006        18
     -43.4     -43.2      6.82      1.96      0.39     0.008        20
     -43.2     -43.0      4.30      1.34      0.39     0.007        10
     -43.0     -42.8      4.25      2.17      0.39     0.011        14
     -42.8     -42.6      4.40      2.42      0.40     0.012        20
     -42.6     -42.4      5.20      3.49      0.41     0.013        32
     -42.4     -42.2      1.49      0.97      0.40     0.007        10
     -42.2     -42.0      0.42      2.22      0.40     0.010        12
     -42.0     -41.8      0.87      2.81      0.41     0.012        18
     -41.8     -41.6     -0.08      4.29      0.41     0.014        24
     -41.6     -41.4      1.56      3.05      0.42     0.010        24
     -41.4     -41.2     -4.00      1.88      0.41     0.010        14
     -41.2     -41.0     -3.83      2.00      0.42     0.010        12
     -41.0     -40.8     -4.17      3.66      0.42     0.014        22
     -40.8     -40.6     -2.71      3.78      0.44     0.010        32
     -40.6     -40.4     -7.62      3.25      0.42     0.010        12
     -40.4     -40.2     -7.05      1.52      0.43     0.012        16
     -40.2     -40.0     -6.25      2.03      0.44     0.012        18
     -40.0     -39.8     -5.46      4.10      0.45     0.011        26
     -39.8     -39.6     -5.66      3.99      0.44     0.014        24
     -39.6     -39.4     -6.98      2.92      0.44     0.010        14
     -39.4     -39.2     -5.56      1.48      0.45     0.011        18
     -39.2     -39.0     -3.93      2.41      0.45     0.014        26
     -39.0     -38.8     -3.56      2.89      0.46     0.010        24
     -38.8     -38.6     -3.17      2.74      0.45     0.011        18
     -38.6     -38.4     -2.32      1.68      0.46     0.011        18
     -38.4     -38.2     -1.28      0.94      0.47     0.011        24
     -38.2     -38.0     -0.08      1.82      0.47     0.015        30
     -38.0     -37.8      0.68      1.74      0.47     0.010        14
     -37.8     -37.6      2.52      2.79      0.47     0.016        20
     -37.6     -37.4      1.16      2.11      0.48     0.012        26
     -37.4     -37.2      1.60      2.69      0.48     0.014        32
     -37.2     -37.0      3.88      1.79      0.48     0.015        16
     -37.0     -36.8      3.59      3.49      0.48     0.012        20
     -36.8     -36.6      2.52      4.21      0.49     0.016        30
     -36.6     -36.4      1.15      3.62      0.49     0.016        30
     -36.4     -36.2      4.12      2.05      0.49     0.015        18
     -36.2     -36.0      3.60      3.57      0.49     0.016        24
     -36.0     -35.8      0.94      4.45      0.50     0.015        34
     -35.8     -35.6      0.48      4.25      0.51     0.014        28
     -35.6     -35.4      2.73      1.55      0.50     0.011        18
     -35.4     -35.2      1.83      3.24      0.51     0.011        20
     -35.2     -35.0     -1.54      3.48      0.52     0.015        42
     -35.0     -34.8      1.59      1.55      0.51     0.011        16
     -34.8     -34.6      1.17      0.77      0.52     0.011        18
     -34.6     -34.4      0.14      1.72      0.52     0.014        24
     -34.4     -34.2     -1.22      2.10      0.53     0.011        38
     -34.2     -34.0      0.52      0.63      0.52     0.015        18
     -34.0     -33.8      0.10      0.44      0.52     0.016        26
     -33.8     -33.6     -0.41      0.70      0.53     0.016        30
     -33.6     -33.4     -0.32      0.63      0.53     0.019        36
     -33.4     -33.2     -0.07      0.25      0.53     0.015        22
     -33.2     -33.0     -0.28      0.25      0.54     0.014        24
     -33.0     -32.8     -0.25      0.24      0.55     0.013        44
     -32.8     -32.6     -0.46      0.26      0.54     0.013        18
     -32.6     -32.4     -0.59      0.33      0.54     0.016        24
     -32.4     -32.2     -0.72      0.27      0.56     0.011        24
     -32.2     -32.0     -0.57      0.26      0.56     0.015        38
     -32.0     -31.8     -0.99      0.41      0.55     0.016        24
     -31.8     -31.6     -1.30      0.48      0.55     0.019        30
     -31.6     -31.4     -1.35      0.44      0.56     0.020        44
     -31.4     -31.2     -1.44      0.47      0.56     0.017        24
     -31.2     -31.0     -1.65      0.42      0.57     0.012        24
     -31.0     -30.8     -2.14      0.51      0.57     0.016        28
     -30.8     -30.6     -2.07      0.40      0.58     0.014        38
     -30.6     -30.4     -1.72      0.53      0.56     0.021        28
     -30.4     -30.2     -2.42      0.45      0.58     0.016        28
     -30.2     -30.0     -2.63      0.46      0.59     0.014        46
     -30.0     -29.8     -1.83      0.78      0.57     0.020        22
     -29.8     -29.6     -2.06      0.89      0.58     0.020        34
     -29.6     -29.4     -2.53      0.73      0.59     0.016        32
     -29.4     -29.2     -2.12      1.09      0.59     0.024        40
     -29.2     -29.0     -1.95      1.03      0.59     0.016        28
     -29.0     -28.8     -2.14      0.86      0.60     0.016        30
     -28.8     -28.6     -2.16      1.11      0.60     0.018        44
     -28.6     -28.4     -1.40      0.97      0.60     0.017        24
     -28.4     -28.2     -1.28      1.00      0.60     0.020        36
     -28.2     -28.0     -2.26      1.13      0.62     0.014        44
     -28.0     -27.8     -0.71      0.66      0.60     0.016        22
     -27.8     -27.6     -1.23      0.79      0.61     0.011        26
     -27.6     -27.4     -1.45      1.16      0.62     0.019        48
     -27.4     -27.2     -0.85      1.35      0.61     0.018        30
     -27.2     -27.0     -0.32      1.02      0.61     0.021        30
     -27.0     -26.8     -0.69      1.08      0.63     0.016        38
     -26.8     -26.6     -0.51      1.54      0.63     0.021        40
     -26.6     -26.4      0.24      1.05      0.63     0.016        28
     -26.4     -26.2      0.02      1.09      0.64     0.015        32
     -26.2     -26.0      0.20      1.57      0.63     0.022        44
     -26.0     -25.8      1.26      1.24      0.63     0.020        34
     -25.8     -25.6      1.19      1.17      0.64     0.017        32
     -25.6     -25.4      0.79      1.29      0.64     0.023        52
     -25.4     -25.2      1.69      0.99      0.64     0.016        26
     -25.2     -25.0      1.39      0.64      0.64     0.021        34
     -25.0     -24.8      0.94      0.86      0.65     0.020        50
     -24.8     -24.6      1.02      0.83      0.64     0.019        30
     -24.6     -24.4      0.82      0.30      0.65     0.016        30
     -24.4     -24.2     -0.08      1.20      0.66     0.023        56
     -24.2     -24.0     -0.61      0.93      0.65     0.016        26
     -24.0     -23.8     -1.40      1.15      0.66     0.020        38
     -23.8     -23.6     -1.64      1.02      0.67     0.019        50
     -23.6     -23.4     -3.10      0.88      0.66     0.016        26
     -23.4     -23.2     -3.49      0.82      0.66     0.024        42
     -23.2     -23.0     -3.75      0.62      0.68     0.018        52
     -23.0     -22.8     -4.39      1.29      0.66     0.020        30
     -22.8     -22.6     -4.33      1.23      0.67     0.020        34
     -22.6     -22.4     -4.35      1.33      0.68     0.021        58
     -22.4     -22.2     -3.78      1.72      0.68     0.016        26
     -22.2     -22.0     -2.52      2.29      0.67     0.025        42
     -22.0     -21.8     -2.97      1.74      0.69     0.019        54
     -21.8     -21.6     -0.85      1.88      0.68     0.021        32
     -21.6     -21.4     -0.74      1.69      0.69     0.016        32
     -21.4     -21.2     -0.42      1.73      0.70     0.022        54
     -21.2     -21.0      1.46      1.32      0.69     0.021        32
     -21.0     -20.8      1.63      1.63      0.69     0.025        44
     -20.8     -20.6      1.19      1.11      0.71     0.017        50
     -20.6     -20.4      2.29      0.99      0.69     0.022        32
     -20.4     -20.2      1.99      1.20      0.70     0.024        48
     -20.2     -20.0      1.54      0.70      0.71     0.023        50
     -20.0     -19.8      1.64      0.81      0.70     0.020        34
     -19.8     -19.6      1.23      0.80      0.71     0.024        46
     -19.6     -19.4      0.87      0.70      0.72     0.023        54
     -19.4     -19.2      0.01      0.75      0.70     0.025        36
     -19.2     -19.0     -0.23      1.10      0.71     0.026        52
     -19.0     -18.8     -0.22      1.35      0.73     0.019        44
     -18.8     -18.6     -1.88      1.13      0.72     0.020        36
     -18.6     -18.4     -2.50      1.72      0.72     0.024        50
     -18.4     -18.2     -1.93      2.40      0.73     0.021        46
     -18.2     -18.0     -4.71      2.28      0.73     0.020        34
     -18.0     -17.8     -4.49      2.29      0.73     0.024        66
     -17.8     -17.6     -3.46      2.95      0.72     0.022        34
     -17.6     -17.4     -6.34      3.09      0.73     0.024        42
     -17.4     -17.2     -4.86      2.53      0.74     0.028        62
     -17.2     -17.0     -3.49      2.07      0.73     0.020        36
     -17.0     -16.8     -4.92      2.67      0.74     0.024        44
     -16.8     -16.6     -3.87      1.91      0.75     0.019        52
     -16.6     -16.4     -2.02      1.04      0.74     0.025        40
     -16.4     -16.2     -2.40      1.43      0.75     0.024        46
     -16.2     -16.0     -1.70      1.08      0.75     0.028        60
     -16.0     -15.8     -0.94      0.50      0.74     0.024        40
     -15.8     -15.6     -1.17      0.56      0.76     0.024        56
     -15.6     -15.4     -1.01      0.56      0.75     0.023        42
     -15.4     -15.2     -1.21      0.44      0.76     0.020        40
     -15.2     -15.0     -1.55      0.50      0.77     0.024        62
     -15.0     -14.8     -2.14      0.89      0.76     0.021        36
     -14.8     -14.6     -2.98      0.90      0.76     0.027        50
     -14.6     -14.4     -3.18      0.81      0.77     0.023        58
     -14.4     -14.2     -4.16      0.91      0.77     0.020        34
     -14.2     -14.0     -4.64      0.87      0.77     0.024        56
     -14.0     -13.8     -5.05      0.73      0.77     0.028        52
     -13.8     -13.6     -5.25      0.76      0.77     0.027        46
     -13.6     -13.4     -5.45      0.57      0.78     0.023        64
     -13.4     -13.2     -5.34      0.58      0.77     0.023        38
     -13.2     -13.0     -5.16      0.60      0.77     0.030        54
     -13.0     -12.8     -5.23      0.57      0.79     0.025        60
     -12.8     -12.6     -5.06      0.78      0.78     0.025        42
     -12.6     -12.4     -5.05      0.62      0.79     0.025        56
     -12.4     -12.2     -5.06      0.77      0.79     0.024        48
     -12.2     -12.0     -4.84      0.92      0.79     0.024        46
     -12.0     -11.8     -5.02      0.82      0.80     0.028        68
     -11.8     -11.6     -4.22      0.99      0.78     0.025        40
     -11.6     -11.4     -3.74      0.97      0.79     0.026        50
     -11.4     -11.2     -3.66      1.05      0.80     0.030        64
     -11.2     -11.0     -2.41      0.89      0.79     0.025        42
     -11.0     -10.8     -2.04      0.80      0.80     0.028        66
     -10.8     -10.6     -1.46      0.83      0.80     0.025        46
     -10.6     -10.4     -0.83      0.67      0.80     0.024        48
     -10.4     -10.2     -0.83      0.84      0.81     0.033        70
     -10.2     -10.0     -0.62      0.90      0.80     0.024        46
     -10.0      -9.8     -0.55      0.83      0.82     0.024        50
      -9.8      -9.6     -0.67      1.15      0.81     0.025        56
      -9.6      -9.4     -1.23      1.06      0.81     0.026        50
      -9.4      -9.2     -1.17      0.96      0.82     0.028        68
      -9.2      -9.0     -1.59      1.19      0.80     0.029        44
      -9.0      -8.8     -1.61      0.89      0.83     0.021        52
      -8.8      -8.6     -1.39      0.64      0.82     0.028        58
      -8.6      -8.4     -1.10      0.76      0.82     0.029        48
      -8.4      -8.2     -0.96      0.50      0.83     0.026        68
      -8.2      -8.0     -0.12      0.61      0.81     0.028        50
      -8.0      -7.8      0.44      0.70      0.82     0.029        52
      -7.8      -7.6      0.87      0.55      0.84     0.024        60
      -7.6      -7.4      1.82      0.65      0.83     0.024        46
      -7.4      -7.2      2.60      0.57      0.83     0.032        76
      -7.2      -7.0      3.20      0.60      0.83     0.024        44
      -7.0      -6.8      3.67      0.68      0.84     0.024        50
      -6.8      -6.6      4.00      0.61      0.84     0.028        66
      -6.6      -6.4      3.91      0.63      0.83     0.030        50
      -6.4      -6.2      4.01      0.79      0.85     0.024        70
      -6.2      -6.0      3.45      0.53      0.83     0.024        44
      -6.0      -5.8      3.27      0.60      0.84     0.030        56
      -5.8      -5.6      3.00      0.70      0.85     0.030        68
      -5.6      -5.4      2.49      0.50      0.85     0.024        46
      -5.4      -5.2      2.27      0.58      0.86     0.028        72
      -5.2      -5.0      2.09      0.78      0.84     0.030        52
      -5.0      -4.8      1.77      0.50      0.85     0.033        60
      -4.8      -4.6      1.40      0.40      0.86     0.028        62
      -4.6      -4.4      0.90      0.32      0.85     0.024        48
      -4.4      -4.2      0.64      0.37      0.86     0.031        74
      -4.2      -4.0      0.07      0.35      0.85     0.028        50
      -4.0      -3.8     -0.35      0.47      0.86     0.024        56
      -3.8      -3.6     -0.77      0.52      0.86     0.032        66
      -3.6      -3.4     -1.30      0.66      0.86     0.028        56
      -3.4      -3.2     -1.44      0.83      0.87     0.033        72
      -3.2      -3.0     -1.78      0.99      0.86     0.027        44
      -3.0      -2.8     -1.75      1.04      0.87     0.025        64
      -2.8      -2.6     -1.55      1.15      0.87     0.031        60
      -2.6      -2.4     -1.42      1.26      0.87     0.029        58
      -2.4      -2.2     -1.05      1.04      0.88     0.025        66
      -2.2      -2.0     -0.81      1.27      0.86     0.029        54
      -2.0      -1.8     -0.42      1.02      0.88     0.028        76
      -1.8      -1.6     -0.46      1.24      0.86     0.030        48
      -1.6      -1.4     -0.33      1.08      0.88     0.030        60
      -1.4      -1.2     -0.27      0.98      0.88     0.028        66
      -1.2      -1.0     -0.58      1.02      0.87     0.031        54
      -1.0      -0.8     -0.61      0.85      0.89     0.028        76
      -0.8      -0.6     -1.07      0.79      0.88     0.025        42
      -0.6      -0.4     -1.32      0.67      0.88     0.033        72
      -0.4      -0.2     -1.54      0.67      0.89     0.026        58
      -0.2       0.0     -1.96      0.52      0.88     0.032        62
       0.0       0.2     -2.12      0.54      0.90     0.023        64
       0.2       0.4     -2.58      0.43      0.88     0.029        52
       0.4       0.6     -2.49      0.45      0.90     0.030        74
       0.6       0.8     -2.84      0.52      0.89     0.024        48
       0.8       1.0     -2.69      0.45      0.89     0.033        68
       1.0       1.2     -2.55      0.51      0.90     0.026        62
       1.2       1.4     -2.66      0.53      0.89     0.032        58
       1.4       1.6     -2.54      0.43      0.91     0.023        66
       1.6       1.8     -2.49      0.52      0.89     0.029        54
       1.8       2.0     -2.72      0.39      0.91     0.029        78
       2.0       2.2     -2.55      0.49      0.89     0.030        54
       2.2       2.4     -2.58      0.41      0.90     0.028        62
       2.4       2.6     -2.53      0.47      0.90     0.031        68
       2.6       2.8     -2.22      0.70      0.90     0.030        56
       2.8       3.0     -1.87      0.62      0.91     0.032        74
       3.0       3.2     -1.59      0.83      0.90     0.028        52
       3.2       3.4     -0.93      0.72      0.91     0.033        82
       3.4       3.6     -0.82      0.72      0.90     0.026        50
       3.6       3.8     -0.06      0.75      0.91     0.033        70
       3.8       4.0      0.21      0.57      0.92     0.027        60
       4.0       4.2      0.77      0.73      0.91     0.031        64
       4.2       4.4      1.38      0.77      0.91     0.033        76
       4.4       4.6      1.72      0.64      0.91     0.030        54
       4.6       4.8      2.72      0.99      0.92     0.032        82
       4.8       5.0      2.79      0.55      0.91     0.029        46
       5.0       5.2      3.69      1.08      0.92     0.033        78
       5.2       5.4      3.74      0.66      0.91     0.032        62
       5.4       5.6      4.13      0.99      0.92     0.030        64
       5.6       5.8      4.09      0.94      0.92     0.033        74
       5.8       6.0      3.88      1.03      0.91     0.033        62
       6.0       6.2      3.76      1.04      0.93     0.032        74
       6.2       6.4      3.51      1.20      0.91     0.033        60
       6.4       6.6      3.30      1.06      0.92     0.037        88
       6.6       6.8      3.25      1.39      0.91     0.033        54
       6.8       7.0      2.96      1.16      0.92     0.038        74
       7.0       7.2      2.95      1.20      0.93     0.031        70
       7.2       7.4      2.48      1.09      0.93     0.032        64
       7.4       7.6      2.39      0.96      0.94     0.028        66
       7.6       7.8      2.01      0.87      0.92     0.030        64
       7.8       8.0      1.78      0.69      0.94     0.032        76
       8.0       8.2      1.53      0.57      0.93     0.029        56
       8.2       8.4      1.45      0.54      0.94     0.033        84
       8.4       8.6      1.38      0.44      0.93     0.028        50
       8.6       8.8      1.31      0.61      0.93     0.033        74
       8.8       9.0      1.60      0.56      0.93     0.034        70
       9.0       9.2      1.45      0.67      0.93     0.030        62
       9.2       9.4      1.71      0.67      0.94     0.031        74
       9.4       9.6      1.93      0.70      0.93     0.033        62
       9.6       9.8      1.84      0.68      0.94     0.036        86
       9.8      10.0      2.36      0.58      0.93     0.035        58
      10.0      10.2      2.11      0.64      0.94     0.032        84
      10.2      10.4      2.74      0.49      0.93     0.028        56
      10.4      10.6      2.47      0.64      0.94     0.033        76
      10.6      10.8      2.74      0.65      0.94     0.030        62
      10.8      11.0      2.75      0.81      0.94     0.033        66
      11.0      11.2      2.53      0.77      0.94     0.032        72
      11.2      11.4      2.55      0.78      0.93     0.037        72
      11.4      11.6      2.05      0.74      0.95     0.032        74
      11.6      11.8      2.02      0.55      0.94     0.033        62
      11.8      12.0      1.43      0.63      0.94     0.037        90
      12.0      12.2      1.35      0.41      0.94     0.034        54
      12.2      12.4      0.90      0.62      0.95     0.030        84
      12.4      12.6      0.82      0.49      0.94     0.030        58
      12.6      12.8      0.50      0.58      0.95     0.033        76
      12.8      13.0      0.38      0.55      0.95     0.030        62
      13.0      13.2      0.20      0.59      0.95     0.035        72
      13.2      13.4      0.02      0.56      0.95     0.031        70
      13.4      13.6     -0.21      0.64      0.94     0.039        72
      13.6      13.8     -0.29      0.62      0.95     0.034        80
      13.8      14.0     -0.65      0.68      0.94     0.036        62
      14.0      14.2     -0.49      0.61      0.96     0.031        82
      14.2      14.4     -0.94      0.57      0.95     0.029        56
      14.4      14.6     -0.82      0.59      0.96     0.033        82
      14.6      14.8     -1.26      0.50      0.95     0.029        58
      14.8      15.0     -1.21      0.52      0.96     0.036        90
      15.0      15.2     -1.67      0.55      0.95     0.032        58
      15.2      15.4     -1.46      0.46      0.96     0.033        74
      15.4      15.6     -1.90      0.65      0.95     0.036        72
      15.6      15.8     -1.82      0.50      0.95     0.035        72
      15.8      16.0     -1.82      0.65      0.96     0.031        70
      16.0      16.2     -1.91      0.60      0.96     0.032        68
      16.2      16.4     -1.73      0.66      0.96     0.032        72
      16.4      16.6     -1.86      0.69      0.96     0.030        66
      16.6      16.8     -1.74      0.71      0.95     0.039        88
      16.8      17.0     -1.84      0.71      0.95     0.033        60
      17.0      17.2     -1.66      0.76      0.96     0.036        86
      17.2      17.4     -1.81      0.67      0.96     0.030        58
      17.4      17.6     -1.59      0.77      0.97     0.030        80
      17.6      17.8     -1.84      0.63      0.95     0.030        58
      17.8      18.0     -1.63      0.73      0.97     0.032        86
      18.0      18.2     -1.85      0.64      0.95     0.035        60
      18.2      18.4     -1.71      0.74      0.96     0.038        86
      18.4      18.6     -1.69      0.66      0.96     0.034        66
      18.6      18.8     -1.66      0.68      0.97     0.029        68
      18.8      19.0     -1.69      0.72      0.96     0.033        72
      19.0      19.2     -1.75      0.61      0.96     0.029        64
      19.2      19.4     -1.68      0.72      0.96     0.036        82
      19.4      19.6     -1.90      0.66      0.96     0.030        62
      19.6      19.8     -1.64      0.72      0.96     0.036        80
      19.8      20.0     -1.99      0.69      0.96     0.033        66
      20.0      20.2     -1.71      0.74      0.97     0.029        76
      20.2      20.4     -1.98      0.65      0.95     0.037        70
      20.4      20.6     -1.78      0.70      0.97     0.031        82
      20.6      20.8     -1.93      0.65      0.95     0.037        70
      20.8      21.0     -1.82      0.64      0.96     0.037        86
      21.0      21.2     -1.97      0.65      0.95     0.033        60
      21.2      21.4     -1.90      0.62      0.97     0.028        82
      21.4      21.6     -2.05      0.64      0.96     0.028        54
      21.6      21.8     -1.74      0.73      0.96     0.038        94
      21.8      22.0     -1.90      0.61      0.95     0.032        56
      22.0      22.2     -1.70      0.73      0.97     0.034        80
      22.2      22.4     -1.48      0.64      0.95     0.039        74
      22.4      22.6     -1.57      0.62      0.97     0.028        70
      22.6      22.8     -1.35      0.65      0.96     0.032        72
      22.8      23.0     -1.45      0.57      0.96     0.036        76
      23.0      23.2     -1.30      0.73      0.96     0.037        74
      23.2      23.4     -1.52      0.67      0.96     0.032        68
      23.4      23.6     -1.40      0.76      0.96     0.040        82
      23.6      23.8     -1.59      0.83      0.97     0.029        64
      23.8      24.0     -1.51      0.79      0.96     0.035        82
      24.0      24.2     -1.64      0.84      0.96     0.036        68
      24.2      24.4     -1.51      0.71      0.97     0.035        82
      24.4      24.6     -1.63      0.71      0.95     0.037        72
      24.6      24.8     -1.55      0.69      0.97     0.030        74
      24.8      25.0     -1.78      0.68      0.95     0.034        72
      25.0      25.2     -1.67      0.76      0.97     0.036        80
      25.2      25.4     -2.02      0.80      0.95     0.033        64
      25.4      25.6     -1.80      0.79      0.96     0.041        94
      25.6      25.8     -2.17      0.77      0.96     0.030        58
      25.8      26.0     -1.76      0.80      0.97     0.036        86
      26.0      26.2     -1.99      0.78      0.95     0.038        66
      26.2      26.4     -1.61      0.77      0.96     0.036        90
      26.4      26.6     -1.72      0.81      0.94     0.040        68
      26.6      26.8     -1.48      0.69      0.96     0.037        86
      26.8      27.0     -1.57      0.65      0.95     0.033        64
      27.0      27.2     -1.46      0.59      0.96     0.036        90
      27.2      27.4     -1.65      0.51      0.96     0.026        54
      27.4      27.6     -1.68      0.60      0.96     0.037        84
      27.6      27.8     -1.88      0.54      0.96     0.030        60
      27.8      28.0     -1.95      0.57      0.96     0.037        80
      28.0      28.2     -2.05      0.53      0.96     0.032        68
      28.2      28.4     -2.05      0.48      0.96     0.037        80
      28.4      28.6     -1.99      0.49      0.95     0.038        74
      28.6      28.8     -1.92      0.42      0.96     0.033        76
      28.8      29.0     -1.81      0.49      0.96     0.032        70
      29.0      29.2     -1.56      0.42      0.95     0.038        78
      29.2      29.4     -1.45      0.45      0.95     0.039        78
      29.4      29.6     -1.36      0.49      0.96     0.033        72
      29.6      29.8     -1.24      0.47      0.96     0.038        74
      29.8      30.0     -1.20      0.66      0.96     0.027        68
      30.0      30.2     -1.10      0.58      0.96     0.035        74
      30.2      30.4     -0.89      0.79      0.95     0.037        72
      30.4      30.6     -0.93      0.69      0.96     0.033        78
      30.6      30.8     -0.61      0.79      0.95     0.035        70
      30.8      31.0     -0.51      0.78      0.95     0.039        82
      31.0      31.2     -0.25      0.78      0.94     0.037        70
      31.2      31.4     -0.14      0.78      0.96     0.035        82
      31.4      31.6     -0.08      0.76      0.96     0.027        58
      31.6      31.8      0.26      0.74      0.95     0.035        82
      31.8      32.0      0.33      0.69      0.94     0.037        68
      32.0      32.2      0.44      0.65      0.96     0.031        78
      32.2      32.4      0.49      0.60      0.94     0.039        72
      32.4      32.6      0.44      0.56      0.95     0.038        86
      32.6      32.8      0.34      0.56      0.94     0.032        62
      32.8      33.0      0.12      0.66      0.95     0.036        84
      33.0      33.2      0.11      0.79      0.94     0.032        64
      33.2      33.4     -0.24      0.94      0.95     0.037        84
      33.4      33.6     -0.07      1.02      0.94     0.037        66
      33.6      33.8     -0.41      1.14      0.94     0.039        90
      33.8      34.0     -0.18      0.98      0.94     0.033        60
      34.0      34.2     -0.43      1.03      0.95     0.036        88
      34.2      34.4     -0.08      0.78      0.94     0.030        56
      34.4      34.6     -0.10      0.84      0.94     0.041        92
      34.6      34.8      0.25      0.65      0.93     0.036        64
      34.8      35.0      0.11      0.64      0.94     0.036        86
      35.0      35.2      0.43      0.48      0.95     0.024        52
      35.2      35.4      0.36      0.61      0.94     0.036        86
      35.4      35.6      0.77      0.39      0.94     0.030        56
      35.6      35.8      0.64      0.60      0.94     0.038        90
      35.8      36.0      1.11      0.37      0.94     0.024        50
      36.0      36.2      1.03      0.59      0.94     0.040        90
      36.2      36.4      1.62      0.41      0.93     0.029        58
      36.4      36.6      1.57      0.66      0.94     0.035        84
      36.6      36.8      2.22      0.51      0.93     0.031        60
      36.8      37.0      2.22      0.76      0.94     0.035        84
      37.0      37.2      2.76      0.59      0.92     0.036        62
      37.2      37.4      2.81      0.77      0.94     0.036        88
      37.4      37.6      3.25      0.52      0.91     0.041        68
      37.6      37.8      3.38      0.72      0.94     0.033        84
      37.8      38.0      3.81      0.53      0.92     0.036        62
